"FIPS" "first.year" "long" "lat" "ba" "plant" "x" "y"
"2385" 42089 1988 -75.33934 41.05923 46.818364 5.76694 0.0263293033835657 -1.24028052789933
"2386" 42091 1979 -75.36395 40.21878 5.229744 6.78731 0.0263183368043845 -1.25507952984688
"2387" 42093 1999 -76.65954 41.02093 64.95979 6.18694 0.00910417919248702 -1.24120056738894
"2388" 42095 1986 -75.3088 40.76019 29.8176663 6.2995 0.0268412302859395 -1.24553388724817
"2389" 42097 1998 -76.70856 40.84224 102.7717972 6.21578 0.008485457137156 -1.24434990544011
"2390" 42099 1999 -77.25225 40.40263 45.1591954 6.47408 0.00137564423337928 -1.25211724652647
"2391" 42101 1991 -75.13523 40.00487 0 7.15172 0.0294266204740081 -1.25877884566071
"2392" 42103 1992 -75.05037 41.33282 40.386119 5.73543 0.0299833202930801 -1.23538237601569
"2394" 42107 1991 -76.21571 40.70656 155.458308 6.1214 0.0149665808748058 -1.24667727791269
"2395" 42109 1999 -77.06556 40.76744 69.801744 6.32889 0.00381544848476928 -1.24568960674866
"2396" 42111 2002 -79.02493 39.9778 58.9667677 5.8032 -0.0221080888070975 -1.25940550855526
"2397" 42113 2000 -76.52295 41.4409 92.392417 5.79744 0.0108231206094368 -1.23379744885931
"2398" 42115 2006 -75.80637 41.82189 421.976968 5.53894 0.0200156439093274 -1.22698154081242
"2399" 42117 2005 -77.26534 41.76453 165.70696 5.50102 0.0011801664103834 -1.22815275711766
"2400" 42119 2000 -77.0648 40.96011 116.47314 6.18122 0.00381499555803805 -1.2422984474415
"2404" 42127 1998 -75.31038 41.64987 159.54342 5.50411 0.026483530334258 -1.22988445643762
"2405" 42129 2006 -79.46266 40.31403 11.4518671 6.0052 -0.0277769195303804 -1.25337035897636
"2406" 42131 2000 -76.02976 41.51624 218.75141 5.91996 0.0172067366682184 -1.23239962297322
"2407" 42133 1987 -76.73011 39.92591 5.848715 6.66583 0.00830967991373184 -1.26048611836597
"2408" 44001 1986 -71.25485 41.71248 0 6.5 0.0788523054184909 -1.22653652331929
"2409" 44003 1986 -71.57206 41.67921 0 6.29932 0.0747938666164837 -1.22737682437131
