"FIPS" "year" "lat" "long" "size" "population" "income" "basalpercent" "x" "y"
"1830" 36103 1960 40.86686 -72.84618 912.05 1499273 36588 13 0.082583034740942 -1.24120121380614
"1831" 36105 1960 41.71357 -74.77418 968.13 76793 24023 31 0.0567022332036576 -1.22774071822349
"1832" 36107 1974 42.17365 -76.30568 518.6 50478 25719 22 0.036669425820622 -1.22041083558893
"1833" 36109 1974 42.45786 -76.47146 474.65 102554 26199 12 0.0343993999214771 -1.21548138335609
"1834" 36111 1960 41.89 -74.26255 1124.24 181791 29692 23 0.0631506508480752 -1.22431975375368
"1835" 36113 1945 43.5618 -73.85878 866.95 65538 28939 20 0.0667147221686434 -1.19473251920527
"1836" 36115 1945 43.32178 -73.44217 831.18 62934 23252 20 0.0722041010553886 -1.19863014906976
"1837" 36117 1974 43.15939 -77.03519 603.83 92962 24872 7 0.0269140804675421 -1.20335083500274
"1838" 36119 1960 41.16351 -73.76251 430.5 961670 48306 18 0.0703164232138826 -1.23672763060861
"1839" 36121 1981 42.70128 -78.23232 592.75 41892 21762 11 0.0118339634520503 -1.21163510183376
"1840" 36123 1974 42.63186 -77.11956 338.14 25344 23928 26 0.0260446999915328 -1.21263228211279
"1867" 37053 1990 36.52304 -75.94655 261.85 24077 26487 15 0.0446452405653742 -1.31972382425077
"1868" 37055 1990 35.76329 -75.85107 383.42 34573 31410 1 0.0464369501655065 -1.33305417659826
"1996" 39005 2000 40.86122 -82.26922 422.95 52962 21758 6 -0.0406824382265635 -1.24337939867977
"1997" 39007 1987 41.71017 -80.75647 701.93 100389 20030 21 -0.0206372411891742 -1.22893591555761
"1998" 39009 2012 39.34576 -82.04053 503.6 64304 17312 34 -0.0384991480512359 -1.27015054331894
"2000" 39013 1998 40.03032 -80.99209 532.13 69671 21129 14 -0.0242534937363248 -1.25844081447697
"2003" 39019 1994 40.59303 -81.08306 394.61 28587 21772 28 -0.0252575711137032 -1.24851026604603
"2008" 39029 1994 40.78219 -80.77249 531.89 106507 20691 19 -0.0211212656505213 -1.24525670654023
"2009" 39031 1998 40.31619 -81.91965 563.91 36779 20084 14 -0.0363875357660986 -1.2531118840305
"2010" 39033 2012 40.86113 -82.91514 401.79 42849 20823 2 -0.0491315538795956 -1.24307579076274
"2011" 39035 1994 41.43819 -81.65425 457.19 1265111 26810 0 -0.0323701453410463 -1.23346791356745
"2013" 39039 2000 41.32916 -84.49443 411.46 38677 22862 4 -0.0693174200140734 -1.23386500398214
"2014" 39041 2007 40.28827 -82.99348 443.1 181061 41384 0 -0.0505627582182061 -1.25311204633909
"2015" 39043 2000 41.3782 -82.62486 251.56 76398 25704 5 -0.0450031939294337 -1.23412759828193
"2016" 39045 2002 39.75692 -82.62121 504.41 147474 26693 7 -0.0459948268506234 -1.26265277711405
"2018" 39049 2007 39.97747 -82.99945 532.19 1195537 27646 0 -0.0508624935517489 -1.25857802773532
"2019" 39051 2000 41.61386 -84.13218 405.44 42513 23718 2 -0.0643523344134017 -1.2291193625923
"2021" 39055 1989 41.51811 -81.17983 400.16 93680 33947 5 -0.0261829187947849 -1.23220870054032
"2023" 39059 1998 40.06532 -81.48956 522.25 39817 19538 26 -0.0308248652443518 -1.25768038016072
"2027" 39067 1998 40.31005 -81.08478 402.34 15714 19927 24 -0.0253810312082328 -1.25349126381353
